"Product_Name","Variant_Size","Price_INR","Available","Category"
"Custom Masala Blend","4500","4500.00","True",""
"Custom Masala Blend","4550","4550.00","True",""
"Custom Masala Blend","4600","4600.00","True",""
"Custom Masala Blend","4650","4650.00","True",""
"Custom Masala Blend","4700","4700.00","True",""
"Custom Masala Blend","4750","4750.00","True",""
"Custom Masala Blend","4800","4800.00","True",""
"Custom Masala Blend","4850","4850.00","True",""
"Custom Masala Blend","4900","4900.00","True",""
"Custom Masala Blend","4950","4950.00","True",""
"Custom Masala Blend","50","50.00","True",""
"Custom Masala Blend","500","500.00","True",""
"Custom Masala Blend","5000","5000.00","True",""
"Custom Masala Blend","550","550.00","True",""
"Custom Masala Blend","600","600.00","True",""
"Custom Masala Blend","650","650.00","True",""
"Custom Masala Blend","700","700.00","True",""
"Custom Masala Blend","750","750.00","True",""
"Custom Masala Blend","800","800.00","True",""
"Custom Masala Blend","850","850.00","True",""
"Custom Masala Blend","900","900.00","True",""
"Custom Masala Blend","950","950.00","True",""
"Dailywell Fibre Atta","1kg","102.00","True",""
"Dailywell Fibre Atta","3kg","306.00","True",""
"Dailywell Fibre Atta","5kg","510.00","True",""
"Dailywell Gluten Free Atta","1kg","222.00","True",""
"Dailywell Gluten Free Atta","3kg","666.00","True",""
"Dailywell Gluten Free Atta","5kg","1110.00","True",""
"Dailywell Multi Millet Atta","1 kg","109.00","True",""
"Dailywell Multi Millet Atta","3 kg","327.00","True",""
"Dailywell Multi Millet Atta","5 kg","545.00","True",""
"Dailywell Nuts & Seeds Atta","1kg","283.00","True",""
"Dailywell Nuts & Seeds Atta","3kg","849.00","True",""
"Dailywell Nuts & Seeds Atta","5kg","1415.00","True",""
"Dailywell Protein Atta","1kg","127.00","True",""
"Dailywell Protein Atta","3kg","381.00","True",""
"Dailywell Protein Atta","5kg","635.00","True",""
"Dark Chocolate 55%","Default Title","300.00","True",""
"Dark Chocolate 80%","Default Title","370.00","True",""
"Dark Milk Chocolate","Default Title","250.00","True",""
"Dates- Dry Black Fine (Oman Kaarakka)","1kg","560.00","True",""
"Dates- Dry Black Fine (Oman Kaarakka)","250g","140.00","True",""
"Dates- Dry Black Fine (Oman Kaarakka)","500g","280.00","True",""
"Dried Blueberries","1kg","2400.00","True",""
"Dried Blueberries","250g","600.00","True",""
"Dried Blueberries","500g","1200.00","True",""
"Dried Cherry","1kg","1250.00","True",""
"Dried Cherry","250g","312.50","True",""
"Dried Cherry","500g","625.00","True",""
"Dried Cranberries","1kg","1050.00","True",""
"Dried Cranberries","250g","262.50","True",""
"Dried Cranberries","500g","525.00","True",""
"Dried Curry Leaves","100g","85.00","True",""
"Dried Curry Leaves","1kg","850.00","True",""
"Dried Curry Leaves","250g","212.50","True",""
"Dried Curry Leaves","500g","425.00","True",""
"Dried Ginger","1kg","820.00","True",""
"Dried Ginger","250g","205.00","True",""
"Dried Ginger","500g","410.00","True",""
"Dried Ginger Powder","1kg","850.00","True",""
"Dried Ginger Powder","250g","212.50","True",""
"Dried Ginger Powder","500g","425.00","True",""
"Dried Jackfruit","1kg","1250.00","True",""
"Dried Jackfruit","250g","312.50","True",""
"Dried Jackfruit","500g","625.00","True",""
"Dried Lemon","1kg","500.00","True",""
"Dried Lemon","250g","125.00","True",""
"Dried Lemon","500g","250.00","True",""
"Dried Strawberry","1kg","1340.00","True",""
"Dried Strawberry","250g","335.00","True",""
"Dried Strawberry","500g","670.00","True",""
"Ekanayakam","1kg","1200.00","True",""
"Ekanayakam","250g","300.00","True",""
"Ekanayakam","500g","600.00","True",""
"Emmer Khapli Wheat","1kg / Powder","195.00","True",""
"Emmer Khapli Wheat","1kg / Raw","195.00","True",""
"Emmer Khapli Wheat","3kg / Powder","585.00","True",""
"Emmer Khapli Wheat","3kg / Raw","585.00","True",""
"Emmer Khapli Wheat","5kg / Powder","975.00","True",""
"Emmer Khapli Wheat","5kg / Raw","975.00","True",""
"Fennel (Perumjeerakam)","1KG","600.00","True",""
"Fennel (Perumjeerakam)","250G","150.00","True",""
"Fennel (Perumjeerakam)","500G","300.00","True",""
"Fenugreek (Uluva)","1kg","230.00","True",""
"Fenugreek (Uluva)","250g","57.50","True",""
"Fenugreek (Uluva)","500g","115.00","True",""
"Fig (Big)","1kg","2800.00","True",""
"Fig (Big)","250g","700.00","True",""
"Fig (Big)","500g","1400.00","True",""
"Fig (Normal Size)","1KG","2100.00","True",""
"Fig (Normal Size)","250g","525.00","True",""
"Fig (Normal Size)","500g","1050.00","True",""
"Flax Seeds","1kg","350.00","True",""
"Flax Seeds","250g","87.50","True",""
"Flax Seeds","500g","175.00","True",""
"Forest Honey (Kattuthen)","1350g","1325.00","True",""
"Forest Honey (Kattuthen)","250g","360.00","True",""
"Forest Honey (Kattuthen)","400g","560.00","True",""
"Forest Honey (Kattuthen)","950g","1240.00","True",""
"Fork","Default Title","190.00","True",""
"Foxtail Millet (Navane)","1kg","170.00","True",""
"Foxtail Millet (Navane)","250g","42.50","True",""
"Foxtail Millet (Navane)","500g","85.00","True",""
"Foxtail Millet (Navane) Rava","1kg","250.00","True",""
"Foxtail Millet (Navane) Rava","250g","62.50","True",""
"Foxtail Millet (Navane) Rava","500g","125.00","True",""
